idx,lake,date,T1,T2,T3,T4,T5,T6,cluster,season
91,Taihu,44236,4.17,4.15,3.86,4.13,4.69,4.12,1,4
92,Taihu,44237,4.31,4.04,4.22,4.18,5.18,4.17,1,4
93,Taihu,44238,3.92,3.96,3.99,4.58,3.9,3.71,3,4
94,Taihu,44239,3.51,3.41,3.18,3.69,4.01,4.06,4,4
95,Taihu,44240,4.08,3.59,2.84,2.61,4.71,3.98,4,4
96,Taihu,44241,3.59,3.38,3.27,4.06,3.57,5.19,4,4
97,Taihu,44242,4.77,4.23,4.47,6.04,5.1,5.72,1,4
98,Taihu,44243,5.35,5.03,3.46,3.38,6.22,5.67,4,4
99,Taihu,44244,5.13,5.15,4.47,5.31,5.54,5.06,1,4
100,Taihu,44248,3.95,4.99,6.4,4.44,4.54,5.75,3,4
101,Taihu,44249,5.78,3.22,2.86,4.86,5,6.44,4,4
102,Taihu,44250,4.58,4.84,4.96,4.87,4.89,4.81,1,4
103,Taihu,44251,4.78,5.68,4.79,4.44,5.65,5.17,4,4
104,Taihu,44252,5.32,5.96,5.56,5.63,4.88,4.96,3,4
105,Taihu,44253,4.61,4.43,5.21,5.29,5.3,4.97,1,4
106,Taihu,44254,4.84,4.74,4.8,4.64,5.55,5.2,4,4
107,Taihu,44255,5.03,5.28,4.74,4.71,4.4,4.25,3,4
108,Taihu,44256,4.02,3.88,3.9,3.27,3.47,3.7,2,4
109,Taihu,44257,3.96,3.55,3.53,3.46,4.06,3.69,4,4
110,Taihu,44258,3.75,3.86,4.01,4.25,3.83,4.29,1,4
111,Taihu,44259,4.73,4.86,4.87,4.27,3.78,4.23,3,4
112,Taihu,44260,3.69,3.52,2.99,3.55,3.77,3.51,1,4
113,Taihu,44261,3.48,3.09,3.7,3.95,3.72,4.13,1,4
114,Taihu,44262,4.28,4.12,4.05,4.36,4.66,4.64,4,4
115,Taihu,44263,4.3,3.76,3.65,3.77,4.37,4.24,4,4
116,Taihu,44264,4.12,4.35,4.24,4.11,5.24,4.98,4,1
117,Taihu,44265,4.34,3.6,4.5,3.29,6.14,3.53,1,1
118,Taihu,44266,4,4.18,4.3,3.98,4.05,4.39,4,1
119,Taihu,44267,3.81,4.2,3.18,3.46,3.38,4.34,2,1
120,Taihu,44268,4.06,3.48,2.89,2.86,3.16,3.77,2,1
121,Taihu,44269,3.02,3.53,3.44,2.46,3.72,4.09,4,1
122,Taihu,44270,4.83,4.41,4.1,4.66,14.4,4.94,1,1
123,Taihu,44271,5.03,4.07,4.47,4.67,5.19,5.07,4,1
124,Taihu,44272,4.94,4.67,3.84,3.88,3.87,3.98,2,1
125,Taihu,44273,4.29,4.2,4.14,4.61,4.85,4.84,1,1
126,Taihu,44274,4.68,4.52,4.33,4.49,4.52,4.37,2,1
127,Taihu,44275,4.15,3.8,3.33,3.28,3.69,3.95,2,1
128,Taihu,44276,3.48,3.69,3.57,3.21,3.87,4.26,4,1
129,Taihu,44279,4.21,4.19,4.46,3.86,4.8,5.38,4,1
130,Taihu,44280,5.26,5.55,5.83,7.22,6.19,5.43,1,1
131,Taihu,44281,5.8,6.37,6.52,6.52,7.04,8.04,4,1
132,Taihu,44282,8.86,9.38,6.24,5.89,6.53,7.07,2,1
133,Taihu,44283,7.61,8.33,7.35,8.37,11.35,7.56,1,1
134,Taihu,44284,9.09,7.57,8.54,8.1,8.73,8.48,4,1
135,Taihu,44285,8.96,10.91,9.56,10.21,9.44,11.24,4,1
136,Taihu,44286,10.9,8.05,7.44,7.35,7.26,7.1,2,1
137,Taihu,44287,6.54,6.08,6.7,6.12,6.75,5.7,3,1
138,Taihu,44288,4.99,4.44,3.81,4.48,3.94,4.05,2,1
139,Taihu,44289,3.55,3.67,3.42,3.48,4.03,4.53,4,1
140,Taihu,44290,4.07,4.03,3.85,3.96,4.52,4.62,4,1
141,Taihu,44291,4.63,5.41,3.82,5.1,12.89,7.92,1,1
142,Taihu,44292,5.29,4.97,4.8,6.23,10.71,8.16,1,1
143,Taihu,44293,6.83,6.51,7.35,7.63,8.58,7.99,1,1
144,Taihu,44294,8.04,8.26,8.01,8.38,10.69,9.38,1,1
145,Taihu,44295,7.55,7.76,8.16,12.11,11.42,8.63,1,1
146,Taihu,44296,6.87,6.55,6.57,6.77,8.73,8.05,4,1
147,Taihu,44298,8.64,7.02,6.41,5.49,5.59,5.74,2,1
148,Taihu,44299,5.14,4.95,4.61,4.16,4.57,5.84,4,1
149,Taihu,44300,5.24,4.07,3.81,3.64,3.5,4.69,2,1
150,Taihu,44301,5.56,7.57,5.02,5.25,6.05,7.65,4,1
151,Taihu,44302,8.27,7.53,6.21,5.87,6.03,6.1,2,1
152,Taihu,44303,4.95,5.05,4.17,4.43,4.81,4.71,2,1
153,Taihu,44304,3.9,4.17,3.62,3.9,3.8,4.13,2,1
154,Taihu,44305,4.37,5,4.91,5.8,5.51,5.56,1,1
155,Taihu,44306,5.72,5.46,4.64,4.89,5.15,5.04,2,1
156,Taihu,44307,3.96,4.03,3.81,4.59,4.38,4.16,1,1
157,Taihu,44308,4.32,4.3,3.66,3.68,3.72,4.3,2,1
158,Taihu,44309,3.71,3.05,2.53,3.68,6.96,3.49,1,1
159,Taihu,44310,2.2,2.46,2.14,3.15,11.94,6.87,1,1
160,Taihu,44311,7.3,7.38,6.89,10.6,13.87,9.99,1,1
161,Taihu,44312,8.19,8.54,7.54,7.65,9.23,9.21,4,1
162,Taihu,44313,8.77,7.85,7.03,10.1,5.38,5.81,3,1
163,Taihu,44314,5.53,4.25,4.5,5.75,8.12,4.09,1,1
164,Taihu,44315,4.23,4.29,4.37,3.43,3.97,4.59,2,1
165,Taihu,44316,6.08,5.11,4.56,4.45,4.96,6.29,2,1
166,Taihu,44317,7.37,7.43,5.04,3.6,3.3,3.55,2,1
167,Taihu,44318,3.77,4.1,4.11,4.27,3.94,5.3,4,1
168,Taihu,44319,5.31,5.27,5.63,5.46,5.48,5.45,1,1
169,Taihu,44320,5.25,5.03,4.93,4.24,4.88,4.61,2,1
170,Taihu,44321,3.29,3.26,3.39,3.97,3.28,2.76,3,1
171,Taihu,44322,2.97,2.81,2.74,3.07,7.11,6.15,4,1
172,Taihu,44323,5.18,4.44,5.34,3.1,4.33,4.91,2,1
173,Taihu,44324,4.05,4.77,4.41,6.52,6.28,5.11,1,1
174,Taihu,44325,5.26,5.07,5.65,5.05,5,5.26,3,1
175,Taihu,44326,5.2,5.15,5.05,5.52,6.05,4,1,1
176,Taihu,44327,4.18,4.08,3.15,3.46,3.75,3.24,2,1
177,Taihu,44328,2.99,2.79,2.83,2.49,2.98,2.93,2,1
178,Taihu,44329,2.25,2.64,2.46,2.88,2.25,2.49,3,1
179,Taihu,44330,2.7,2.69,2.51,2.6,2.96,2.75,1,1
180,Taihu,44331,2.34,2.39,2.34,3.02,2.65,2.78,1,1
181,Taihu,44332,2.8,2.8,2.86,2.66,3.78,3.43,4,1
182,Taihu,44333,3.76,4.12,4.46,3.41,3.06,3.47,3,1
183,Taihu,44334,2.48,2.28,2.53,3.1,2.85,2.62,1,1
184,Taihu,44338,2.74,3.04,4.04,3.52,3.23,3.47,3,1
185,Taihu,44339,3.82,4.39,3.8,3.61,3.18,3.48,3,1
186,Taihu,44340,3.47,3.83,4.49,3.44,3.28,3.83,3,1
187,Taihu,44341,3.87,3.34,4.02,3.04,8.61,7.21,4,1
188,Taihu,44342,4.75,4.11,3.69,3.49,3.81,3.81,2,1
189,Taihu,44343,3.42,2.73,2.59,2.61,4.16,2.99,1,1
190,Taihu,44344,3.05,3.78,3.67,2.45,3.64,4.71,4,1
191,Taihu,44345,4.38,3.8,3.51,3.2,3.77,4.85,4,1
192,Taihu,44346,4.04,3.91,6.06,4.41,3.24,2.78,3,1
193,Taihu,44347,3.97,3.93,4.08,4.98,4.79,4.75,1,1
194,Taihu,44348,4.67,4.8,3.9,4.11,4.39,4.6,2,1
195,Taihu,44349,4.03,3.05,2.09,1.74,1.54,1.44,2,1
196,Taihu,44350,1.42,1.56,1.58,1.67,1.83,2.02,4,1
197,Taihu,44351,2.1,2.11,2.38,2.73,2.94,2.92,1,1
198,Taihu,44352,3.04,3.24,3.33,3.05,2.83,2.96,3,1
199,Taihu,44353,2.93,3.38,3.27,4.09,4.25,4.56,1,1
200,Taihu,44354,3.91,4.46,3.65,4.28,5.81,5.26,1,1
201,Taihu,44355,5.29,5.77,5.51,7.63,6.6,7.09,1,1
202,Taihu,44356,6.13,5.15,4.64,6.08,5.93,6,1,2
203,Taihu,44357,5.3,4.78,4.66,3.01,8.87,8.18,4,2
204,Taihu,44358,7.11,4.25,3.91,3.49,5.18,5.21,2,2
205,Taihu,44359,5.63,5.39,5.09,5.08,5.93,6.42,4,2
206,Taihu,44360,5.61,4.93,3.68,5.6,4.71,4.91,2,2
207,Taihu,44361,4.6,4.14,3.64,3.63,4.12,5.33,4,2
208,Taihu,44362,3.93,4.17,4.04,5.61,5.51,5.79,1,2
209,Taihu,44363,4.81,4.8,4.41,4.71,6.03,6.88,4,2
210,Taihu,44364,5.08,4.96,5.08,5.56,6.96,6.58,1,2
211,Taihu,44365,6.54,8.89,6.56,7.47,4.98,5.7,3,2
212,Taihu,44366,5.46,4.92,5.66,5.37,5.54,5.98,4,2
213,Taihu,44367,5.62,5.48,5.83,5.55,5.83,6.25,4,2
214,Taihu,44368,5.21,5.4,6.69,6.99,7.64,7.5,1,2
215,Taihu,44369,7.36,6.76,7.06,8.75,11.14,10.31,1,2
216,Taihu,44370,9.18,10.43,11.49,13.72,16.1,14.57,1,2
217,Taihu,44371,13.19,11.94,11.77,12.09,13.91,13.32,4,2
218,Taihu,44372,12.78,13.11,12.39,8.46,7.46,7.45,3,2
219,Taihu,44373,6.77,6.01,6,5.99,6.62,6.34,2,2
220,Taihu,44374,5.43,5.14,5.84,5.95,5.91,6.1,1,2
221,Taihu,44375,6.29,5.85,6.3,7.71,8.88,5.94,1,2
222,Taihu,44376,5.12,5.13,5.28,5.66,6.57,5.57,1,2
223,Taihu,44377,5.23,5.57,5.4,5.04,5.07,4.92,3,2
224,Taihu,44378,5.34,4.23,4.06,4.53,6.34,3.78,1,2
225,Taihu,44379,3.73,3.48,2.8,2.62,2.87,3.19,2,2
226,Taihu,44380,3.16,3.42,3.24,3.66,3.96,4.29,4,2
227,Taihu,44381,4.65,3.49,4.13,4.38,4.92,5.3,4,2
228,Taihu,44382,5.52,5.89,6.7,8.57,8.7,9.27,1,2
229,Taihu,44383,6.1,5.78,5.42,5.72,6.3,6.46,4,2
230,Taihu,44384,6.11,5.29,6.15,15.29,13.45,6.16,1,2
231,Taihu,44385,7.5,5.89,5.92,8.39,5,5.53,3,2
232,Taihu,44386,4.58,5.1,4.85,6.38,5.89,5.31,1,2
233,Taihu,44387,5.88,4.89,5.95,6.25,5.45,5.44,3,2
234,Taihu,44388,4.39,4.82,5.14,6.25,6.57,7.59,4,2
235,Taihu,44389,6.55,4.55,6.17,5.53,5.49,5.56,3,2
236,Taihu,44390,5.47,5.07,5.64,6.35,5.99,5.21,1,2
237,Taihu,44391,6.1,3.83,4.79,6.44,4.84,4.35,1,2
238,Taihu,44392,4.08,4.51,4.31,4.01,4.28,3.78,3,2
239,Taihu,44393,3.52,3.54,3.5,3.3,3.35,3.8,4,2
240,Taihu,44394,3.6,3.39,3.64,3.38,3.36,3.2,3,2
241,Taihu,44395,3.35,3.5,3.19,2.05,2.05,2.25,3,2
242,Taihu,44396,2.12,2.01,1.95,1.78,1.78,1.88,2,2
243,Taihu,44397,2.08,2.26,2.16,2.05,2.18,2.5,4,2
244,Taihu,44398,2.44,2.75,2.68,2.99,3.19,3.06,1,2
245,Taihu,44399,3.09,3.13,3.39,3.59,3.79,3.74,1,2
246,Taihu,44400,4.14,4.03,4.1,2.73,2.4,2.17,3,2
247,Taihu,44401,2.18,2.16,2.14,2.1,1.91,1.99,3,2
248,Taihu,44402,1.97,1.9,2.22,2.25,2.19,2.64,4,2
249,Taihu,44403,2.72,3.1,2.76,2.66,2.5,2.58,3,2
250,Taihu,44404,2.87,2.94,2.38,2.45,2.56,2.94,2,2
251,Taihu,44405,3.48,3.47,3.6,3.59,3.48,4.75,4,2
252,Taihu,44406,4.98,4.38,4.8,4.21,4.31,3,3,2
253,Taihu,44407,1.82,2.58,1.68,1.85,6.35,5.38,4,2
254,Taihu,44408,4.53,4.22,4.66,5.62,9.39,7.64,1,2
255,Taihu,44409,7.85,7.89,10.37,12.45,20.67,14.23,1,2
256,Taihu,44410,12.2,12.41,11.56,32.5,32.87,16.44,1,2
257,Taihu,44411,13.72,12.26,10.05,8.58,9.08,9.71,2,2
258,Taihu,44412,7.56,6.73,6.05,5.27,6.41,5.41,2,2
259,Taihu,44413,6.03,4.38,3.99,4.36,5.64,6.58,4,2
260,Taihu,44414,6.96,7.59,7.27,9.07,13.25,9.57,1,2
261,Taihu,44415,10.05,10.33,10.88,17.01,22.69,14.97,1,2
262,Taihu,44416,18.66,13.53,20.81,29.9,50.83,18.77,1,2
263,Taihu,44417,16.09,22.71,22.29,16.59,8.17,8.14,3,2
264,Taihu,44418,8.98,8.55,7.14,7.93,10.05,6.06,1,2
265,Taihu,44419,5.72,5.39,5.01,4.64,4.27,3.6,3,2
266,Taihu,44420,4.57,4.05,3.83,4.46,4.18,4.35,1,2
267,Taihu,44421,3.81,3.79,3.7,3.88,3.57,3.6,3,2
268,Taihu,44422,3.94,3.56,3.84,4.39,6.93,3.98,1,2
269,Taihu,44423,3.83,3.87,3.71,3.33,3.61,3.4,2,2
270,Taihu,44427,10.6,9.29,14.63,10.31,15.84,16.62,4,2
271,Taihu,44428,13.53,12.55,10.97,12.98,16.39,12.82,1,2
272,Taihu,44429,13.83,12.08,10,11.2,11.6,13.23,2,2
273,Taihu,44430,10.62,8.49,11.81,10.06,13.36,8.78,1,2
274,Taihu,44431,7.27,6.61,6.11,5.32,6.12,6.36,2,2
275,Taihu,44432,8.49,5.89,6.5,5.96,7.16,6.45,2,2
276,Taihu,44433,8.93,5.97,7.02,3.41,6.34,4.36,2,2
277,Taihu,44434,5.3,3.99,2.38,4.31,7.27,6.69,4,2
278,Taihu,44435,5.8,5.36,5.74,5.58,6.63,7.71,4,2
279,Taihu,44436,6.37,7.16,6.27,16.41,7.73,6.93,1,2
280,Taihu,44437,5.72,11.26,8.04,10,6.39,5.64,3,2
281,Taihu,44438,4.35,4.97,4.22,4.91,5.28,7.04,4,2
282,Taihu,44439,5.92,5.66,5.02,3.92,5.72,4.95,2,2
283,Taihu,44440,5.85,9.05,1.55,1.31,2.65,6.25,2,2
284,Taihu,44441,5.45,5.79,7.02,5.04,6.06,5.64,3,2
285,Taihu,44442,6.44,6.13,5.41,5.2,0.92,0.94,3,2
286,Taihu,44443,4.75,7.45,5.91,6.77,6.68,6.3,1,2
287,Taihu,44444,5.01,6.97,10.73,11.2,13.99,21.13,4,2
288,Taihu,44445,12.68,17.95,16.84,18.05,25.51,14.77,1,2
289,Taihu,44446,6.03,6.44,7,10.73,14.16,10.13,1,2
290,Taihu,44447,6.56,4.83,5.97,6.63,4.14,5.04,3,2
291,Taihu,44448,4.53,4.13,3.3,4.71,9.31,5.62,1,3
292,Taihu,44449,8.78,5.82,6.96,14.4,27.32,46.87,4,3
293,Taihu,44450,60.9,39.69,73.27,71.89,57.82,54.58,3,3
294,Taihu,44451,47.63,55.77,59.12,37.08,36.54,45.33,3,3
295,Taihu,44452,57.72,47.44,49.99,49.72,194.71,153.35,4,3
296,Taihu,44453,155.36,189.72,305.48,274.43,271.19,372.87,4,3
297,Taihu,44454,309.66,294.58,364.01,418.32,440.16,379.97,1,3
298,Taihu,44455,450.85,319.29,357.13,367.97,489.08,487.41,4,3
299,Taihu,44456,231.13,251.22,294.2,263.72,133.49,55.83,3,3
300,Taihu,44457,30.97,28.32,26.39,1.11,10.18,8.77,2,3
301,Taihu,44458,9.72,11.63,10.95,11.91,10.18,10.84,3,3
302,Taihu,44459,10.53,10.94,10.29,10.39,9.96,10.63,2,3
303,Taihu,44460,11.88,11.07,14.12,14.65,10.42,10.13,3,3
304,Taihu,44461,10.37,9.89,10.37,12.81,13.17,12.84,1,3
305,Taihu,44462,14.42,24.18,23.97,12.67,13.34,11.18,3,3
306,Taihu,44463,11.51,11.87,10.35,9.97,10.2,11.37,2,3
307,Taihu,44464,11.22,11.51,11.94,12.19,13.63,14.27,4,3
308,Taihu,44465,14.4,13.04,10.23,8.92,8.26,8.35,2,3
309,Taihu,44466,8.77,9.28,10.82,11.78,11.11,15.77,4,3
310,Taihu,44467,14.23,14.48,13.66,15.08,14.22,16.53,4,3
311,Taihu,44468,12.85,12.94,13,12.92,12.35,21.01,4,3
312,Taihu,44469,18.41,11.88,11.36,13.68,15.26,13.68,2,3
313,Taihu,44470,13.36,11.07,11.72,13.56,15.9,17.84,4,3
314,Taihu,44471,16.09,16.35,13.01,12.71,14.31,16.38,2,3
315,Taihu,44472,15.39,13.78,15.12,16.4,19.85,18.16,1,3
316,Taihu,44473,17.64,15.23,15.71,18.49,23.53,28.04,4,3
317,Taihu,44474,21.71,15.59,14.97,18.3,18.26,18.85,2,3
318,Taihu,44475,23.51,18.7,14.41,19.22,21.64,17.51,2,3
319,Taihu,44476,17.08,14.5,12.33,11.91,12.29,11.95,2,3
320,Taihu,44477,11.87,11.63,8.93,10.26,10.89,9.22,2,3
321,Taihu,44478,9.5,9.69,8,10.92,12.53,10.28,1,3
322,Taihu,44480,8.42,8.34,7.77,2.43,1.61,4.35,3,3
323,Taihu,44481,12.19,6.52,12.94,13.8,15.06,12.87,1,3
324,Taihu,44483,8.93,10.8,9.44,11.36,12.15,8.84,1,3
325,Taihu,44484,8.08,6.33,6.68,6.61,7.09,8.16,4,3
326,Taihu,44485,8.41,9.16,10.95,11.23,14.84,17.53,4,3
327,Taihu,44486,18.44,19.1,17.88,17.87,15.67,17.66,3,3
328,Taihu,44487,20.94,18.65,21.19,19.71,19.08,23.01,4,3
329,Taihu,44488,25.31,21.99,25.9,29.93,31.56,22.17,1,3
330,Taihu,44499,1.92,1.99,0.18,13.36,11.15,6.96,1,3
331,Taihu,44500,7.07,3.07,8.08,11.84,43.55,24.45,1,3
332,Taihu,44501,26.92,19.41,21.87,10.71,10.34,9,3,3
333,Taihu,44502,9.74,8.09,6.28,10.94,13.92,8.62,1,3
334,Taihu,44503,7.27,7.1,6.34,6.5,5.44,6.71,2,3
335,Taihu,44504,7.2,4.88,2.71,1.57,1.38,2.17,2,3
336,Taihu,44505,2.25,1.97,2.18,1.92,2.58,1.91,1,3
337,Taihu,44506,1.95,1.64,1.1,1.43,1.81,1.79,2,3
338,Taihu,44510,6.89,5.67,3.51,3.59,4.36,4.61,2,3
339,Taihu,44511,3.85,4.09,4,3.05,3.3,3.93,2,3
340,Taihu,44512,4.3,4.04,3.28,3.47,5.76,4.6,4,3
341,Taihu,44513,2.2,1.58,6.41,2.16,2.69,2.53,3,3
342,Taihu,44514,2.25,2.9,1.92,1.51,2.59,2.37,2,3
343,Taihu,44515,1.29,2.26,1.98,2.04,3.77,4.29,4,3
344,Taihu,44516,4.99,5.96,5.22,7.49,6.06,5.4,1,3
345,Taihu,44517,5.69,4.96,4.02,5.33,6.12,4.23,1,3
346,Taihu,44518,3.63,3.63,3.37,5.35,3.89,5.23,1,3
347,Taihu,44519,5.97,3.65,3.52,5.09,4.9,4.1,1,3
348,Taihu,44521,5.48,3.58,3.91,3.94,3.94,5.04,2,3
349,Taihu,44523,4.18,3.09,3.13,2.93,2.73,3.29,2,3
350,Taihu,44524,3.39,2.43,2.43,2.33,2.81,2.89,2,3
351,Taihu,44525,2.61,1.88,1.04,5.41,5.81,4.9,1,3
352,Taihu,44526,3.85,3.57,5.1,6.94,12.64,5.27,1,3
353,Taihu,44527,9.11,4.72,2.75,2.79,3.85,5.01,2,3
354,Taihu,44528,4.86,4.29,4.8,5.98,5.87,5.36,1,3
355,Taihu,44529,5.37,6.27,5.17,4.24,3.63,4.14,3,3
356,Taihu,44532,3.72,3.41,3.04,3.01,2.79,3.15,2,3
357,Taihu,44534,4.28,3.98,3.51,4.16,4.28,3.21,3,3
358,Taihu,44539,3.21,3.53,3.45,3.97,8.93,5.89,1,4
359,Taihu,44540,6.6,6.96,6.66,5.49,10.56,9.39,4,4
360,Taihu,44541,7.99,6.35,7.09,8.74,9.24,9.07,1,4
361,Taihu,44544,3.07,6.65,5.13,4.36,5.67,10.04,4,4
362,Taihu,44552,5.53,7.78,9.05,4.12,6.19,8.89,4,4
363,Taihu,44553,7.6,5.08,4.81,5.51,8.55,6.75,1,4
364,Taihu,44554,6.72,7.27,7.68,7.4,14.23,13.64,4,4
365,Taihu,44555,10.64,8.22,8.06,7.7,6.12,5.3,3,4
366,Taihu,44556,4.92,5.74,4.76,5.84,5.29,6.68,4,4
367,Taihu,44557,7.95,6.47,6.61,5.31,5.64,4.42,3,4
368,Taihu,44558,8.34,5.42,3.18,3.03,4.5,5.54,2,4
369,Taihu,44559,5.99,5.06,5.2,3.25,5.57,5.57,2,4
370,Taihu,44560,5.77,4.7,6.42,3.83,5.72,6.47,4,4
371,Taihu,44561,7.12,6.67,5.87,2.46,5.44,5.11,2,4
372,Taihu,44562,5.61,5.87,5.38,5.25,6.39,8.45,4,4
373,Taihu,44563,7.51,5.57,6.37,3.01,4.05,3.06,3,4
374,Taihu,44564,7.1,5.34,4.2,3.77,4.7,5.44,2,4
375,Taihu,44565,17.18,5.51,5.09,2.93,4.94,8.15,2,4
376,Taihu,44566,9.17,3.68,3.11,5.05,5.15,6.18,2,4
377,Taihu,44568,8.95,7.61,7.04,7.55,11.94,8.33,1,4
378,Taihu,44569,6.14,9.5,7.76,8.47,8.92,9.94,4,4
379,Taihu,44570,10.29,7.41,7.7,6.72,6.2,7.15,2,4
380,Taihu,44571,7.2,6.6,11.97,6.72,6.08,3.81,3,4
381,Taihu,44572,2.8,3.3,2.36,3.08,3.94,2.89,1,4
382,Taihu,44573,4,3.18,3.1,3.16,3.47,3.38,2,4
383,Taihu,44574,4.3,3.58,2.7,2.58,2.34,2.95,2,4
384,Taihu,44575,3.51,3.92,2.79,1.67,1.15,3.12,2,4
385,Taihu,44576,3.81,3.99,3.14,2.98,5.12,5.44,4,4
386,Taihu,44577,4.01,6.34,5.72,4.5,5.69,3.28,3,4
387,Taihu,44578,3.27,3.1,3.66,2.77,3.98,6.1,4,4
388,Taihu,44579,5.35,3.86,3.4,2.96,3.38,3.94,2,4
389,Taihu,44580,3.62,4.08,4.32,3.66,7.24,4.22,1,4
390,Taihu,44581,4.42,4.23,3.26,3.81,4.76,7.99,4,4
391,Taihu,44582,8.01,6.9,6.43,5.48,6.26,6.03,2,4
392,Taihu,44583,4.58,4.21,5.57,6.2,7.49,6.51,1,4
393,Taihu,44584,6.46,5.95,5.93,6.6,4.5,4.76,3,4
394,Taihu,44585,4.53,5,4.72,4.51,5.08,4.28,3,4
